,category,title,shorts,unicode_alternates,keywords,ucode_short,ucode,aliases,alt_title,aliases_ascii
#️⃣,symbols,keycap number sign,[hash],0023-fe0f-20e3,"[keycap, symbol, pound, hash, number]",0023_fe0f_20e3,#️⃣,,,
*️⃣,symbols,keycap asterisk,[asterisk],002a-fe0f-20e3,"[keycap, symbol, asterisk, star]",002a_fe0f_20e3,*️⃣,[:keycap_asterisk:],,
0️⃣,symbols,keycap digit zero,[zero],0030-fe0f-20e3,"[, keycap, symbol, number, zero, math]",0030_fe0f_20e3,0️⃣,,,
1️⃣,symbols,keycap digit one,[one],0031-fe0f-20e3,"[, keycap, symbol, number, one, math]",0031_fe0f_20e3,1️⃣,,,
2️⃣,symbols,keycap digit two,[two],0032-fe0f-20e3,"[, keycap, symbol, two, number, math]",0032_fe0f_20e3,2️⃣,,,
3️⃣,symbols,keycap digit three,[three],0033-fe0f-20e3,"[, keycap, symbol, three, number, math]",0033_fe0f_20e3,3️⃣,,,
4️⃣,symbols,keycap digit four,[four],0034-fe0f-20e3,"[, keycap, symbol, number, four, math]",0034_fe0f_20e3,4️⃣,,,
5️⃣,symbols,keycap digit five,[five],0035-fe0f-20e3,"[, keycap, symbol, number, five, math]",0035_fe0f_20e3,5️⃣,,,
6️⃣,symbols,keycap digit six,[six],0036-fe0f-20e3,"[, keycap, symbol, six, number, math]",0036_fe0f_20e3,6️⃣,,,
7️⃣,symbols,keycap digit seven,[seven],0037-fe0f-20e3,"[, seven, keycap, symbol, number, math]",0037_fe0f_20e3,7️⃣,,,
8️⃣,symbols,keycap digit eight,[eight],0038-fe0f-20e3,"[, keycap, symbol, number, eight, math]",0038_fe0f_20e3,8️⃣,,,
9️⃣,symbols,keycap digit nine,[nine],0039-fe0f-20e3,"[, keycap, symbol, number, nine, math]",0039_fe0f_20e3,9️⃣,,,
©,symbols,copyright sign,[copyright],00a9-fe0f,"[symbol, copyright]",00a9,©,,,
®,symbols,registered sign,[registered],00ae-fe0f,"[registered, symbol]",00ae,®,,,
‼,symbols,double exclamation mark,[bangbang],203c-fe0f,"[bangbang, exclamation, symbol, punctuation, mark]",203c,‼,,,
⁉,symbols,exclamation question mark,[interrobang],2049-fe0f,"[exclamation, symbol, punctuation, question, mark, interrobang]",2049,⁉,,,
™,symbols,trade mark sign,[tm],2122-fe0f,"[symbol, tm, trademark, mark]",2122,™,,,
ℹ,symbols,information source,[information_source],2139-fe0f,"[i, information, symbol]",2139,ℹ,,,
↔,symbols,left right arrow,[left_right_arrow],2194-fe0f,"[symbol, arrow]",2194,↔,,,
↕,symbols,up down arrow,[arrow_up_down],2195-fe0f,"[symbol, arrow]",2195,↕,,,
↖,symbols,north west arrow,[arrow_upper_left],2196-fe0f,"[symbol, direction, intercardinal, northwest, arrow]",2196,↖,,,
↗,symbols,north east arrow,[arrow_upper_right],2197-fe0f,"[northeast, direction, intercardinal, symbol, arrow]",2197,↗,,,
↘,symbols,south east arrow,[arrow_lower_right],2198-fe0f,"[southeast, direction, intercardinal, symbol, arrow]",2198,↘,,,
